snp_ids_standard,feat_importance_standard
6714702_4,0.0023351768
6811454_4,0.0021814528
6754393_4,0.0020951608
6760571_4,0.0020784540
3893613_1,0.0020579645
6652824_5,0.0020359029
6768977_4,0.0020001235
3940501_1,0.0019873630
6658569_5,0.0019489891
3906923_1,0.0019369189
2649805_1,0.0019316663
15002824_2,0.0019099523
19004279_5,0.0019026068
6800935_4,0.0018916327
3876764_1,0.0018365846
6681214_4,0.0017689594
19001111_5,0.0015877910
6664315_5,0.0015871372
3869840_1,0.0015677633
6761868_4,0.0015635077
2740856_4,0.0015287852
19002840_5,0.0015220775
6580015_1,0.0015110734
2702699_1,0.0014740312
29358962_1,0.0014453412
3873003_1,0.0014187197
6561652_1,0.0014152000
2727702_1,0.0014139270
6812273_4,0.0014062677
6701489_4,0.0014051509
18234434_2,0.0013683107
6272180_1,0.0013610069
6720312_4,0.0013533604
2747380_1,0.0013410640
2713268_1,0.0013332177
2749341_1,0.0013213309
16841154_4,0.0013182348
2532755_4,0.0013109057
8700916_2,0.0013062551
6717392_5,0.0013048369
6552934_5,0.0012770581
9297779_2,0.0012700720
6709136_4,0.0012502063
6803467_4,0.0012449628
6674023_5,0.0012409097
4610138_1,0.0012136323
13859747_2,0.0012085110
4954245_1,0.0012016422
1513982_4,0.0012013260
19016124_5,0.0011809708
16722327_2,0.0011671444
2887457_1,0.0011623285
6806552_4,0.0011498208
13879727_2,0.0011488171
6794605_4,0.0011394825
2735618_4,0.0011379506
2868685_1,0.0011371447
16710932_2,0.0011354892
2741723_1,0.0011293557
3970787_1,0.0011178268
2751296_1,0.0011172988
1525551_4,0.0011047051
3881033_1,0.0010973037
2856482_5,0.0010836599
2921888_1,0.0010795302
1417718_4,0.0010652844
6279099_1,0.0010623849
3867298_1,0.0010604995
6678191_4,0.0010580592
16831519_4,0.0010574464
25331378_5,0.0010509750
6815123_4,0.0010421441
200026_4,0.0010329937
23187669_3,0.0010301857
6829500_4,0.0010241797
2033739_1,0.0010155551
15924113_4,0.0010112429
6582786_1,0.0010082821
2785535_1,0.0010070700
6816537_4,0.0010049956
25342544_5,0.0009962494
17583010_4,0.0009770426
9300651_2,0.0009709612
3681967_1,0.0009682004
6831102_4,0.0009665896
15706722_4,0.0009647140
6719061_4,0.0009557691
16800233_2,0.0009460096
3731103_1,0.0009349329
2731040_4,0.0009334598
5694730_2,0.0009264806
3885885_1,0.0009251292
6973681_2,0.0009250715
6863108_4,0.0009230130
25339602_5,0.0009154901
6699273_4,0.0009125936
3862225_1,0.0009125498
6763169_4,0.0009083258
2865250_1,0.0009073439
6281666_1,0.0009071643
25338064_5,0.0009055645
6726823_4,0.0009012447
6679996_4,0.0008974414
16725130_2,0.0008963863
1517053_4,0.0008961687
7439064_1,0.0008890164
9323365_2,0.0008812801
3857560_1,0.0008737015
16729914_2,0.0008736765
2915863_1,0.0008725795
9322084_2,0.0008498845
6528858_1,0.0008441274
2804461_1,0.0008367582
24336405_1,0.0008164870
6671196_4,0.0008138429
13892917_2,0.0008080804
9320655_2,0.0008063724
4958259_1,0.0008058560
6672651_4,0.0008054161
7470074_1,0.0008006206
4585248_1,0.0007843397
16714060_2,0.0007802990
6657758_4,0.0007781311
16074234_4,0.0007765634
18607657_5,0.0007757525
13500337_2,0.0007620282
13511026_2,0.0007619923
25368246_5,0.0007599332
14848274_2,0.0007544904
4240580_1,0.0007511907
2752155_1,0.0007419030
6572462_1,0.0007372158
4190524_1,0.0007312223
23175028_3,0.0007306440
30168020_1,0.0007270917
2720394_1,0.0007266956
16015017_4,0.0007245738
7049491_2,0.0007173537
13838248_2,0.0007164031
25355085_5,0.0007118319
6723637_4,0.0007083274
6769343_5,0.0007080560
16063449_4,0.0007077351
6759592_4,0.0007072814
16742362_2,0.0007048894
17651763_4,0.0007026124
13526265_2,0.0007003622
6731213_4,0.0006997018
3888190_1,0.0006952292
1055426_1,0.0006948651
7505654_1,0.0006929532
25390884_5,0.0006904569
14867064_2,0.0006892725
14913147_2,0.0006886328
7853175_1,0.0006873646
13632006_2,0.0006835480
16051533_4,0.0006829912
9318247_2,0.0006790538
13799311_2,0.0006770646
2876445_1,0.0006750418
6964079_4,0.0006698049
7454734_1,0.0006618996
7569872_1,0.0006617727
25396390_5,0.0006567934
15997178_4,0.0006531338
7855231_1,0.0006495726
18414549_5,0.0006489906
9319507_2,0.0006465870
13844466_2,0.0006462066
