snp_id,feat_imp,phenotype,model
24336405_1,1.6205956579333332,RL,linearregression
3906159_5,0.8481670174333334,RL,linearregression
7208813_4,0.7609889873333332,RL,linearregression
10288763_4,0.6332035649,RL,linearregression
19062273_2,0.479558106,RL,linearregression
3906923_1,0.4420663664666667,RL,linearregression
23106218_1,0.4141371068333333,RL,linearregression
17272553_2,0.3984737597666667,RL,linearregression
14409992_4,0.3894680652,RL,linearregression
6279503_4,0.38869779546666666,RL,linearregression
25331378_5,0.37826563313333333,RL,linearregression
14976695_5,0.3760895887,RL,linearregression
815187_4,0.35119798273333336,RL,linearregression
17176650_5,0.35032127623333337,RL,linearregression
19070630_2,0.34960674453333335,RL,linearregression
8915937_4,0.34272787243333336,RL,linearregression
258685_1,0.33554206233333334,RL,linearregression
7964220_4,0.3293691702,RL,linearregression
7490001_2,0.3075595027333333,RL,linearregression
19720552_5,0.3011223202,RL,linearregression
8389435_4,0.29928407566666665,RL,linearregression
1553272_2,0.29177337480000004,RL,linearregression
8266162_4,0.2904193961,RL,linearregression
20974715_5,0.2783474077,RL,linearregression
13762881_1,0.2660650496,RL,linearregression
6660227_2,0.26340173266666667,RL,linearregression
2500686_2,0.2578524293,RL,linearregression
11792245_1,0.2554791026,RL,linearregression
14690947_5,0.2542148309666667,RL,linearregression
6761868_4,0.2528388644,RL,linearregression
16660945_3,0.25180866313333333,RL,linearregression
16801097_5,0.2506540098,RL,linearregression
13203716_1,0.24374444506666668,RL,linearregression
18597781_2,0.23781191686666667,RL,linearregression
21365219_5,0.23173074876666666,RL,linearregression
1123032_1,0.22671880953333332,RL,linearregression
22232479_1,0.2209061826333333,RL,linearregression
8613698_2,0.2190238495,RL,linearregression
8985775_3,0.21610072796666668,RL,linearregression
9261822_3,0.2147337717,RL,linearregression
2310418_3,0.2136009437666667,RL,linearregression
7138815_3,0.21115506426666666,RL,linearregression
22624807_1,0.21067378736666667,RL,linearregression
4895351_1,0.20993913779999998,RL,linearregression
9781398_2,0.20930010066666668,RL,linearregression
19004279_5,0.20685333546666665,RL,linearregression
9037332_4,0.20636614313333335,RL,linearregression
9308477_2,0.20611741043333334,RL,linearregression
13539289_4,0.2039440957666667,RL,linearregression
159321_4,0.2012853807,RL,linearregression
7713549_4,0.19984828300000002,RL,linearregression
22025822_1,0.19941000453333332,RL,linearregression
13676326_1,0.19779756776666668,RL,linearregression
9038659_2,0.19656738796666665,RL,linearregression
16835269_2,0.19284130633333332,RL,linearregression
5793948_3,0.19048974249999998,RL,linearregression
957321_3,0.18700054243333333,RL,linearregression
1919084_5,0.18122481253333333,RL,linearregression
10400063_3,0.17926578636666668,RL,linearregression
2804461_1,0.17865196660000002,RL,linearregression
21352025_1,0.17645459136666666,RL,linearregression
21538278_1,0.17644693153333335,RL,linearregression
16948980_1,0.17578952383333335,RL,linearregression
11925773_1,0.17409835783333336,RL,linearregression
14499445_1,0.17310740763333332,RL,linearregression
12879111_1,0.1722933674,RL,linearregression
2237987_1,0.17225342916666667,RL,linearregression
8868577_2,0.16855956206666667,RL,linearregression
17256276_5,0.16706213413333335,RL,linearregression
10207727_3,0.16426934546666666,RL,linearregression
15493494_1,0.1635718004,RL,linearregression
7768929_3,0.16264343953333335,RL,linearregression
13671426_2,0.16218311476666666,RL,linearregression
23503446_1,0.16160492593333334,RL,linearregression
3181452_5,0.15963016443333333,RL,linearregression
6876246_2,0.15943680336666669,RL,linearregression
11811820_3,0.1570521118,RL,linearregression
10620807_4,0.15672719303333335,RL,linearregression
5747140_5,0.1557154123,RL,linearregression
8898386_3,0.1531765003,RL,linearregression
25120281_1,0.15282772546666668,RL,linearregression
25214426_1,0.15184743676666665,RL,linearregression
19566428_5,0.14961306946666666,RL,linearregression
24818721_1,0.14884292946666666,RL,linearregression
26936546_1,0.14871438603333334,RL,linearregression
12734310_2,0.14863470903333334,RL,linearregression
12336347_4,0.14838844193333334,RL,linearregression
10432614_1,0.14814147406666667,RL,linearregression
9484498_4,0.1476380616,RL,linearregression
13867878_2,0.14741853006666666,RL,linearregression
2879384_1,0.14581882183333333,RL,linearregression
12767954_5,0.14558852673333333,RL,linearregression
20960217_5,0.14376821733333334,RL,linearregression
10489176_3,0.13960427893333333,RL,linearregression
12951354_4,0.13834848596666668,RL,linearregression
14357650_3,0.1367802186,RL,linearregression
27653843_1,0.1362637383,RL,linearregression
18908167_3,0.13538130403333334,RL,linearregression
16694457_3,0.1347316959,RL,linearregression
17457494_2,0.13313951666666665,RL,linearregression
14876966_5,0.13204549046666667,RL,linearregression
17955248_5,0.1319178818,RL,linearregression
19335189_1,0.1315479595,RL,linearregression
21064940_1,0.1310971377,RL,linearregression
9808182_2,0.13013813963333334,RL,linearregression
14943114_1,0.12843150416666668,RL,linearregression
11900371_3,0.12282441673333333,RL,linearregression
11046365_1,0.12139974053333334,RL,linearregression
11607434_2,0.12072007136666667,RL,linearregression
17158778_5,0.12052606383333332,RL,linearregression
10736220_4,0.1203587031,RL,linearregression
10842724_2,0.11932816936666667,RL,linearregression
1850315_4,0.11853777786666668,RL,linearregression
24436569_5,0.11830361789999999,RL,linearregression
5229877_3,0.1173013556,RL,linearregression
14232297_2,0.11717410876666667,RL,linearregression
10605114_1,0.11484848710000001,RL,linearregression
17292439_5,0.11475349696666666,RL,linearregression
