sim39,sim40,sim41
8292796_1,15830379_3,20092954_5
13310388_3,8007805_4,1318936_4
21669987_5,14063878_5,13065309_1
2002930_2,20270118_3,17407675_1
15961745_1,14884125_3,3848424_4
20943484_1,8232113_1,17359736_1
15247579_3,18116713_5,6444255_4
16593492_3,11779373_3,8187620_1
13151419_5,15630824_1,18873320_5
2472954_4,12298788_2,12951351_5
11624640_5,13263861_3,3460981_4
5450494_4,17580089_1,1097408_4
3121140_2,10489755_3,7741500_4
1735476_5,2791549_3,3822104_3
29601738_1,23878976_1,21399397_1
9103523_4,28433239_1,17468311_4
18149868_5,22010484_1,11225664_2
16246606_2,5866366_4,2595477_1
15806993_5,13151419_5,7972563_3
20195272_3,53837_4,2086288_5
9406593_1,11494571_4,15733734_2
5625167_4,1358571_4,18107741_2
22004099_1,12881071_4,13853693_2
21918127_3,13407293_1,6785059_4
23237190_1,22548727_3,10578141_5
7384444_4,12658462_5,8985950_3
23951594_1,16310601_5,21946045_5
12393315_3,17157519_2,17286282_5
12947407_3,21750846_1,15798990_5
4490652_3,21265008_5,3796676_4
2117657_4,5240758_3,18091966_2
8446744_5,1941073_2,16303368_3
8827790_2,16690770_5,7642570_4
11099733_3,6673441_3,434019_5
27537234_1,18176977_3,740496_4
663030_5,20318368_3,11801169_3
12004961_3,11493671_4,21418752_1
6814935_4,10329449_3,12865852_3
7176384_4,13681396_4,15865734_3
24904746_1,20953002_5,6130793_4
2766355_5,15929009_5,18094672_2
4396405_2,726032_2,1170782_4
6773919_3,17394377_4,14862074_3
14959859_5,18817210_1,2855810_3
23403270_1,5100962_4,17771729_5
8994588_2,6941060_3,2609269_4
4957101_4,4234177_4,12326851_3
21639248_3,16161705_3,11633578_5
5419872_3,16222004_2,11731109_2
4281441_3,17370749_1,6511851_3
4293286_3,1597217_3,7029502_1
17475198_5,12006462_1,18156076_2
4577365_2,16918052_5,8696931_1
9889375_5,11071566_2,23538554_1
2164968_1,30190507_1,2211218_2
9522055_5,11227643_1,27258296_1
12796032_3,6842829_2,21763419_1
11652897_4,12467099_4,8297379_1
16527021_4,10214491_5,2252390_1
7666018_4,6414738_2,2462640_4
981641_2,24460412_5,15342816_4
1963454_3,5819976_5,6033336_4
19568963_3,4572845_1,26099655_1
10930096_4,5228286_3,21310664_5
26362302_5,12868164_2,12270867_2
10701001_2,6148918_4,4543264_4
4065677_3,12975898_2,11089268_5
4991774_2,12647900_1,1172669_2
2718216_4,8692938_5,9200615_5
21061824_3,8148053_5,17584501_1
29882351_1,8377676_3,2393762_4
13610240_1,13515845_1,12263005_1
8442185_4,8617621_2,6811971_5
824695_3,16130754_5,10643975_4
23423974_1,11502192_3,4865888_3
10296506_3,7947905_4,15707864_5
7647284_4,5118629_5,17490272_3
20399771_1,255018_2,16728663_3
16444096_1,974972_1,7485673_5
5756780_2,7134673_3,15881845_1
6555174_2,4908705_3,7925677_2
24733987_1,5798711_2,19272701_1
16737080_2,8475182_3,1036586_3
12621207_1,1102314_1,5122483_2
1064007_4,17130255_3,1560124_2
9759635_5,14245036_5,23087840_1
17294739_1,19952067_5,6998965_4
1663085_2,12901575_2,7068324_2
9029384_5,6666668_5,20263414_5
9412945_5,9469466_1,2303138_3
3733807_1,11325356_4,22943763_5
6587135_4,227148_5,26265439_5
2246346_3,12458615_3,11457717_3
13493081_4,1026412_2,17139939_3
21754219_1,21756748_5,29742718_1
10380774_1,9974105_4,8493348_3
1606533_2,5430269_2,26807662_1
5650273_5,3114433_2,2736379_5
16881158_5,1607730_2,17166446_1
22829178_1,15358872_5,702605_5
17691772_1,2100889_4,15515837_1
4645081_4,2459432_4,17561511_4
1102314_1,14183353_5,21190700_3
16802006_3,2416328_2,16041760_1
5888935_2,7084853_2,19693781_3
16530447_1,917698_2,5733809_1
3581093_3,7036075_4,2989808_2
19616573_5,6937019_5,16961242_1
7267590_4,17902187_5,10833500_1
320018_5,3121140_2,1645431_1
11988472_2,6638140_4,8148053_5
5797577_4,8030704_2,10598892_1
2530668_4,4503575_2,5335092_1
11071306_3,27440462_1,6436328_5
17565786_3,16620127_4,9340888_4
1979539_4,19722966_1,4187270_4
5467851_4,15781627_2,16794771_4
12334047_2,18401128_1,6094826_3
16022177_3,21847144_5,17782580_1
10423967_3,19500980_3,26924854_5
24093032_1,15924612_1,2884269_4
3190235_5,13138659_3,16708019_5
6893628_2,23141126_1,13092626_1
10753513_2,5812084_1,24052193_5
8603569_5,7735351_4,6234104_4
21572421_1,18769580_5,1216205_5
26702715_1,4296070_2,17275704_3
2920806_2,14578444_4,9232482_5
3601749_3,19268790_1,4596978_4
19545635_5,30250775_1,1446105_3
7486946_5,16935386_1,16679291_5
20692889_3,8375660_5,9690092_3
13427278_2,1059745_4,14198358_2
9123660_3,2826108_2,10515474_3
5593484_5,19913105_5,22645403_3
11247088_1,21309167_3,10255929_4
12661335_5,22541601_3,7388427_1
1556725_4,13999565_5,17123944_2
7017227_4,10966965_4,8913454_4
7960237_3,7361535_2,11996084_4
5090753_4,5127858_3,9298731_3
4221289_1,11979859_3,20539162_3
9016079_3,13283693_1,9336209_5
7601434_4,6249963_5,12164703_5
19391961_1,18995660_1,11489779_4
2368532_3,7466291_2,13756663_5
8188246_5,4274003_2,27936104_1
12401988_5,12291530_2,8594432_2
19429887_1,7203289_5,19496787_3
633876_4,12865852_3,10159231_2
18289886_1,23930590_1,14563804_3
4076539_4,17326388_1,7301748_2
6718029_3,9721379_5,817621_4
1445867_4,11026367_1,6469993_2
16108784_2,8790135_5,4119600_4
2833245_2,8557977_2,13024686_1
15026178_5,16050362_3,23249040_3
13615705_3,10665251_3,5816828_2
11027951_1,24250315_5,2842380_4
11923589_4,8437959_1,4593899_1
17651584_5,1365516_2,9909029_1
11204930_3,5964729_5,27110356_1
9106929_5,18562146_5,17829242_2
8145934_4,23249040_3,14559979_3
5309409_4,2659795_4,7709676_3
11966262_1,27936104_1,13294097_3
61822_1,25215369_5,10848970_3
610364_1,15069045_3,11497655_1
11673238_3,6757166_5,6773568_5
3255195_3,6696577_3,6114244_2
12235391_3,25550074_5,10937366_4
22131036_5,546273_5,2174633_2
2512216_3,14647004_5,284284_4
13231785_5,7448351_1,21787482_3
7253140_4,10961108_3,10972422_3
8427273_3,16727384_3,9108707_4
12670166_4,6676968_3,2219320_2
24007404_1,13550197_2,2650930_3
9576396_3,3582733_4,20552534_3
18085239_2,11446638_2,7449153_4
11075652_1,16254964_4,5028292_5
4146006_4,16033431_3,15739954_5
13634224_5,23095651_3,8120676_2
18584339_3,5713083_2,12467166_2
7988294_4,8353962_4,22946148_1
17710167_3,4841387_3,5530304_2
9996276_1,10271640_3,3320883_4
1522288_3,6742221_4,10603980_1
8733909_5,1117658_4,3998766_1
12542585_5,563522_2,3484151_1
13517213_5,13171129_1,4527384_2
4498733_1,17835509_5,2083687_4
13196117_3,10773745_2,14273195_5
19723709_1,10749362_2,12619162_2
15732742_3,9669479_2,26708458_1
7392622_3,6903906_4,6289678_4
16681020_1,3439695_1,22892231_1
13493849_1,7419634_5,9584651_2
19412001_5,17952737_5,20507738_1
8503497_5,1938434_1,15378614_3
2579038_2,10778556_1,26259459_5
13164689_3,12921383_5,12382461_2
27467148_1,6919555_5,18215005_5
3150054_3,12438987_5,8329731_4
13167674_2,9119534_3,3832261_1
9829293_1,8805675_4,6976500_4
18380379_1,2058092_2,21929920_1
24929950_1,12816205_4,9550270_3
6903468_2,15251579_5,723262_2
6681214_4,11553479_1,9425993_5
4970838_3,13254725_1,4114255_4
13243443_1,2465182_4,1352521_4
8215995_5,21114158_1,17989540_5
4870568_3,20552534_3,18143556_2
16948878_3,15746276_3,11416095_5
21940339_1,16681020_1,15019836_4
19492650_5,10248725_3,28516097_1
19963646_1,15709130_3,22744097_5
5102218_1,16694826_5,19473089_1
12701149_3,26492031_1,4387984_2
6824356_5,22731641_3,5805614_2
26102687_1,19678769_3,4286402_3
9524002_4,9175268_1,14970519_3
3082359_2,9526000_5,4297502_2
5280737_2,10193311_5,9304091_5
13041929_3,18656557_3,4737398_3
21363469_5,1726816_1,13120628_1
4223142_4,15635963_5,10074968_5
7618840_3,7653580_4,1225115_5
6399867_2,22008499_3,533537_4
16586388_4,5797577_4,21713355_1
9179589_3,15083771_3,15487152_5
9252737_5,14258824_4,23904662_5
