snp_id,feat_imp,phenotype,model
18607657_5,0.4090815585333334,FT10,bayesBfromR
17583010_4,0.17183502713333332,FT10,bayesBfromR
24336405_1,0.14130960496666667,FT10,bayesBfromR
19001111_5,0.10384768923333333,FT10,bayesBfromR
9081309_1,0.08973767336666667,FT10,bayesBfromR
25331378_5,0.07512298376666666,FT10,bayesBfromR
18295446_5,0.0747113708,FT10,bayesBfromR
23168629_5,0.07171670053333333,FT10,bayesBfromR
11016778_4,0.0709823651,FT10,bayesBfromR
17559730_4,0.05979070156666667,FT10,bayesBfromR
22947305_1,0.057657487966666664,FT10,bayesBfromR
30168020_1,0.056284080466666664,FT10,bayesBfromR
8002324_4,0.05571084566666667,FT10,bayesBfromR
11017713_4,0.054418107433333335,FT10,bayesBfromR
18292388_5,0.052980803599999994,FT10,bayesBfromR
3677170_3,0.05232619686666667,FT10,bayesBfromR
11241312_5,0.05135700356666667,FT10,bayesBfromR
1553272_2,0.048998779666666666,FT10,bayesBfromR
18612788_1,0.048018087833333334,FT10,bayesBfromR
23205014_5,0.04681452653333334,FT10,bayesBfromR
19002840_5,0.04655727340000001,FT10,bayesBfromR
22045859_3,0.0464743479,FT10,bayesBfromR
7853175_1,0.04600756946666667,FT10,bayesBfromR
2461592_4,0.046005737666666664,FT10,bayesBfromR
9060349_3,0.045306335333333336,FT10,bayesBfromR
30280440_1,0.04519956866666667,FT10,bayesBfromR
22048627_3,0.04448161280000001,FT10,bayesBfromR
18284571_5,0.04441505313333333,FT10,bayesBfromR
10489205_1,0.04423491956666667,FT10,bayesBfromR
9083800_1,0.043699007699999994,FT10,bayesBfromR
13670757_4,0.043476485466666666,FT10,bayesBfromR
19016124_5,0.0427091712,FT10,bayesBfromR
23420541_5,0.042684739066666665,FT10,bayesBfromR
9651243_5,0.040576948833333334,FT10,bayesBfromR
19004279_5,0.0401563781,FT10,bayesBfromR
23184664_5,0.03997348606666667,FT10,bayesBfromR
8351650_1,0.0399209979,FT10,bayesBfromR
9317842_2,0.039546694066666666,FT10,bayesBfromR
23166525_5,0.039520765066666665,FT10,bayesBfromR
5306574_5,0.0392422381,FT10,bayesBfromR
9111817_3,0.0389365208,FT10,bayesBfromR
6552934_5,0.03826751883333334,FT10,bayesBfromR
26093025_1,0.037181402366666665,FT10,bayesBfromR
18391613_4,0.037120746133333334,FT10,bayesBfromR
15539877_3,0.036987980266666665,FT10,bayesBfromR
11630686_2,0.036574478,FT10,bayesBfromR
8368054_1,0.03656587236666667,FT10,bayesBfromR
12800101_2,0.03643613603333334,FT10,bayesBfromR
29358962_1,0.03565808796666667,FT10,bayesBfromR
3170090_5,0.03564426033333333,FT10,bayesBfromR
13664691_4,0.0354763316,FT10,bayesBfromR
10851628_2,0.0340482775,FT10,bayesBfromR
10791975_5,0.033916608833333334,FT10,bayesBfromR
9630844_1,0.033764207799999994,FT10,bayesBfromR
8377649_1,0.033675595700000005,FT10,bayesBfromR
1445867_4,0.0336710933,FT10,bayesBfromR
21765077_1,0.03353029813333334,FT10,bayesBfromR
19746802_5,0.0334579856,FT10,bayesBfromR
22846077_1,0.033062272866666666,FT10,bayesBfromR
14101954_5,0.0330206947,FT10,bayesBfromR
7518033_5,0.033007626133333336,FT10,bayesBfromR
18290225_5,0.0329215339,FT10,bayesBfromR
20823499_1,0.03279247006666666,FT10,bayesBfromR
10789693_5,0.032634802666666664,FT10,bayesBfromR
9026970_2,0.03244060133333333,FT10,bayesBfromR
7850732_5,0.03240830643333333,FT10,bayesBfromR
1618026_1,0.032044501366666665,FT10,bayesBfromR
10454483_4,0.031988044433333335,FT10,bayesBfromR
10197095_5,0.0319757573,FT10,bayesBfromR
14216870_2,0.03195833433333333,FT10,bayesBfromR
15884552_3,0.03175722563333333,FT10,bayesBfromR
9309965_2,0.03168125956666667,FT10,bayesBfromR
15054478_1,0.03145559873333333,FT10,bayesBfromR
21985750_3,0.031427147999999995,FT10,bayesBfromR
5326419_5,0.0313315191,FT10,bayesBfromR
23131963_3,0.031197180199999997,FT10,bayesBfromR
10288763_4,0.030705557266666666,FT10,bayesBfromR
10487496_1,0.030672761066666665,FT10,bayesBfromR
3906159_5,0.030369703066666667,FT10,bayesBfromR
25813184_1,0.030290250833333334,FT10,bayesBfromR
11281885_1,0.030145714833333333,FT10,bayesBfromR
26146319_1,0.03012216353333333,FT10,bayesBfromR
24858772_1,0.0300834442,FT10,bayesBfromR
26145712_1,0.03000591823333333,FT10,bayesBfromR
6556104_2,0.029780078633333335,FT10,bayesBfromR
29463381_1,0.0297240901,FT10,bayesBfromR
1841130_3,0.029711646499999998,FT10,bayesBfromR
9048741_3,0.0296817616,FT10,bayesBfromR
19720552_5,0.02961699723333333,FT10,bayesBfromR
10868436_2,0.02933824486666667,FT10,bayesBfromR
16519830_5,0.02911772663333333,FT10,bayesBfromR
20974715_5,0.029105911233333333,FT10,bayesBfromR
173859_2,0.028850025900000003,FT10,bayesBfromR
17345310_5,0.02879806806666667,FT10,bayesBfromR
