snp_id,feat_imp,phenotype,model
262690_4,0.0027368315,RL,randomforest
259252_4,0.0021707544666666662,RL,randomforest
311663_4,0.0020731179,RL,randomforest
6709136_4,0.002065894133333333,RL,randomforest
267464_4,0.002045067066666667,RL,randomforest
308466_4,0.0020110918,RL,randomforest
3906923_1,0.0019179265,RL,randomforest
317979_4,0.0018649285333333333,RL,randomforest
298461_4,0.0018332527,RL,randomforest
224997_4,0.0018036803333333334,RL,randomforest
304857_4,0.0017863447,RL,randomforest
285609_4,0.0016728480000000002,RL,randomforest
244182_4,0.0015378528666666667,RL,randomforest
247215_4,0.0014337868333333334,RL,randomforest
2804461_1,0.0014115131333333334,RL,randomforest
237689_4,0.0013083570666666666,RL,randomforest
272990_4,0.0012576257333333334,RL,randomforest
3857560_1,0.0012570871666666666,RL,randomforest
199812_4,0.0012549725666666665,RL,randomforest
196160_4,0.0012366429333333332,RL,randomforest
353061_4,0.0011854961333333332,RL,randomforest
13859747_2,0.0011722864333333332,RL,randomforest
270898_4,0.0011165575333333332,RL,randomforest
219919_4,0.0011136345333333335,RL,randomforest
282225_4,0.0010627923333333333,RL,randomforest
6714702_4,0.0010532127666666666,RL,randomforest
200026_4,0.0010522558333333333,RL,randomforest
217250_4,0.0010444559333333333,RL,randomforest
19002840_5,0.0009894212333333332,RL,randomforest
1206116_4,0.0009836633,RL,randomforest
1225999_4,0.0009819534333333332,RL,randomforest
3869840_1,0.0009656431666666667,RL,randomforest
18563210_5,0.0009545215666666666,RL,randomforest
6800935_4,0.0009495352,RL,randomforest
1215336_4,0.0009384749666666666,RL,randomforest
2819058_1,0.0009181173666666666,RL,randomforest
1356197_4,0.0009127669666666667,RL,randomforest
6760571_4,0.0008848953999999999,RL,randomforest
2765849_1,0.0008837603,RL,randomforest
1208382_4,0.0008514301333333334,RL,randomforest
214700_4,0.0008484928333333334,RL,randomforest
331506_4,0.0008452249333333334,RL,randomforest
6572462_1,0.0008275268,RL,randomforest
1338987_4,0.0008087986666666666,RL,randomforest
1232871_4,0.0008028511,RL,randomforest
6815123_4,0.0007970175666666667,RL,randomforest
341989_4,0.0007967684333333333,RL,randomforest
6754393_4,0.0007888498,RL,randomforest
3867298_1,0.0007848622666666666,RL,randomforest
9045693_2,0.0007787696666666667,RL,randomforest
6816537_4,0.0007669206666666667,RL,randomforest
2649805_1,0.0007527173,RL,randomforest
2785535_1,0.0007497790333333334,RL,randomforest
3970787_1,0.0007473411333333333,RL,randomforest
1193850_4,0.0007362808333333332,RL,randomforest
325483_4,0.0007320804,RL,randomforest
6582786_1,0.0007269549,RL,randomforest
203180_4,0.0007252541999999999,RL,randomforest
478305_4,0.0007243695,RL,randomforest
13791103_2,0.0007242957,RL,randomforest
6829500_4,0.0007207108666666667,RL,randomforest
6811454_4,0.0007119275333333333,RL,randomforest
29358962_1,0.0007047722333333333,RL,randomforest
13867878_2,0.0006953642333333334,RL,randomforest
360298_4,0.0006939517666666667,RL,randomforest
3940501_1,0.0006914656333333333,RL,randomforest
249724_4,0.0006866205333333334,RL,randomforest
23188904_5,0.0006665735666666666,RL,randomforest
3876764_1,0.0006661563,RL,randomforest
13892917_2,0.0006644168666666666,RL,randomforest
6761868_4,0.000661825,RL,randomforest
980342_5,0.0006617036000000001,RL,randomforest
7530377_5,0.0006589339333333334,RL,randomforest
1343417_4,0.0006570214333333333,RL,randomforest
6580015_1,0.0006479173666666667,RL,randomforest
3893613_1,0.0006453042333333333,RL,randomforest
19566428_5,0.0006451094333333333,RL,randomforest
6831102_4,0.0006432579666666667,RL,randomforest
24336405_1,0.0006431007,RL,randomforest
2757900_1,0.0006298191333333334,RL,randomforest
1352521_4,0.0006268286666666667,RL,randomforest
497146_4,0.0006162684666666667,RL,randomforest
6913600_4,0.0006108515333333333,RL,randomforest
233729_4,0.0006086598333333333,RL,randomforest
6528858_1,0.0006073566333333333,RL,randomforest
13586250_4,0.0006000249,RL,randomforest
6607112_1,0.0005894692666666666,RL,randomforest
13879727_2,0.0005811571,RL,randomforest
401659_4,0.0005724412666666666,RL,randomforest
1371926_4,0.0005695348333333333,RL,randomforest
3933591_1,0.0005683537333333334,RL,randomforest
13799311_2,0.0005672506666666667,RL,randomforest
9038659_2,0.0005616075666666667,RL,randomforest
25871993_1,0.0005582841333333333,RL,randomforest
627089_3,0.0005501828333333334,RL,randomforest
1187821_4,0.0005496433333333333,RL,randomforest
279966_4,0.0005494782,RL,randomforest
470180_4,0.0005485038666666666,RL,randomforest
6803467_4,0.0005475082,RL,randomforest
6863108_4,0.0005464146,RL,randomforest
25396390_5,0.0005338917,RL,randomforest
499063_4,0.0005280775666666667,RL,randomforest
15160689_4,0.0005271704,RL,randomforest
12926444_2,0.0005219281,RL,randomforest
6768977_4,0.0005200923,RL,randomforest
492590_4,0.0005178849666666667,RL,randomforest
6701489_4,0.0005166848000000001,RL,randomforest
25105303_5,0.0005157512333333333,RL,randomforest
6681214_4,0.0005038976333333334,RL,randomforest
