snp_ids_standard,feat_importance_standard
8430641_3,0.0040273115
26153358_1,0.0031227684
25330073_1,0.0031025752
7267006_3,0.0029939047
12818548_4,0.0026667617
14140830_5,0.0026547220
7593110_4,0.0024215827
9176229_3,0.0023798817
10328163_4,0.0023291091
20290002_5,0.0023027101
18716177_2,0.0022120261
13159799_3,0.0021825381
8051825_4,0.0021264953
8981557_3,0.0019696232
14562295_5,0.0018642449
15288135_4,0.0018285709
3947309_2,0.0018218230
26050343_1,0.0018190883
10805132_1,0.0017919645
11298491_1,0.0017911499
7603733_3,0.0017600163
2449254_4,0.0017387835
7977752_2,0.0017261081
2673741_4,0.0017092782
15353505_5,0.0017023228
7469772_5,0.0016960156
8928873_3,0.0016843202
18648520_3,0.0016816733
24852583_1,0.0016710183
14044473_3,0.0016630966
2741665_2,0.0015957385
13518090_2,0.0015872879
19286087_3,0.0015857642
6193233_4,0.0015786633
9210720_5,0.0015600375
11614662_3,0.0015420292
8008014_5,0.0015318382
18766606_3,0.0015293160
9481967_1,0.0015266733
4470851_5,0.0015163103
10480476_4,0.0014995255
17263863_2,0.0014934718
2304095_4,0.0014845900
18159229_1,0.0014838623
7724880_2,0.0014762080
814249_5,0.0014631080
9169689_5,0.0014569187
3911648_2,0.0014547442
13458099_1,0.0014496804
2693210_4,0.0014440964
1403546_4,0.0014291290
16496530_4,0.0014130590
5426822_1,0.0014117421
8511544_2,0.0014065653
3842881_2,0.0013813902
11494513_4,0.0013703318
15747250_3,0.0013694085
7202036_4,0.0013580482
23021723_3,0.0013552994
5122589_2,0.0013438822
12331274_4,0.0013423409
20090194_3,0.0013392906
16005443_3,0.0013346721
23903271_1,0.0013303182
10433891_4,0.0013268101
9488463_4,0.0013231325
103969_2,0.0013149056
8446086_4,0.0013077855
2695228_2,0.0013052462
21400980_3,0.0012931980
11114953_3,0.0012931340
8170540_1,0.0012839945
13565368_3,0.0012820779
16914341_5,0.0012779696
1762804_5,0.0012646469
11532633_3,0.0012623502
15934613_3,0.0012611108
21537144_1,0.0012585509
3422053_1,0.0012563799
7745997_4,0.0012547957
488226_5,0.0012418067
602797_4,0.0012406692
18434142_5,0.0012329449
11766611_3,0.0012257644
12604400_3,0.0012122638
14234530_3,0.0012096739
7420289_3,0.0012062669
9684748_5,0.0012011577
8379866_3,0.0011999203
18769727_5,0.0011902374
13502037_1,0.0011892786
184393_2,0.0011882596
5616834_1,0.0011848962
18481902_5,0.0011837097
13159100_5,0.0011752725
14189053_5,0.0011741361
13991817_5,0.0011705622
4473567_2,0.0011697789
16820627_3,0.0011601106
15876636_2,0.0011559959
22858685_5,0.0011556613
24471272_1,0.0011483109
6945114_2,0.0011479197
9636476_5,0.0011432553
13885246_3,0.0011424022
413373_5,0.0011423810
4641152_4,0.0011389808
22290006_1,0.0011345584
22488107_1,0.0011330633
6257134_3,0.0011272439
25332835_1,0.0011270507
12835161_1,0.0011241070
21150670_1,0.0011225281
13531872_1,0.0011180140
5141878_5,0.0011146336
2088304_4,0.0011079020
4363480_2,0.0011075034
7336016_3,0.0011011351
8559801_5,0.0010995920
631130_4,0.0010974607
21707706_1,0.0010908026
16092352_3,0.0010901117
25645252_1,0.0010889100
9637720_5,0.0010807078
30224225_1,0.0010800425
12998518_1,0.0010732688
10801522_3,0.0010710273
18484511_5,0.0010706516
4654554_1,0.0010682452
15404262_3,0.0010636943
20738568_3,0.0010548235
16630006_3,0.0010543305
13968695_1,0.0010478799
21293966_5,0.0010439644
13684534_2,0.0010437481
15868017_5,0.0010427121
8252882_3,0.0010425599
8524288_5,0.0010372079
25745983_1,0.0010322200
15787141_3,0.0010319178
4469835_2,0.0010315993
10266710_2,0.0010275533
2320058_4,0.0010264730
13159760_1,0.0010235314
16904656_5,0.0010217269
26353378_5,0.0010203793
25631669_1,0.0010155837
8881244_3,0.0010062879
11790008_3,0.0010048330
7583259_4,0.0010047054
1430970_1,0.0010034062
24424616_1,0.0009987275
4644382_5,0.0009976825
11763185_3,0.0009962348
17453860_5,0.0009894525
6123297_4,0.0009885411
18935252_1,0.0009880339
18458962_3,0.0009857696
17078477_3,0.0009825877
