snp_ids_standard,feat_importance_standard
259252_4,0.0131025594
9443080_2,0.0103894016
3906923_1,0.0088089732
25941425_1,0.0083342474
2327023_1,0.0081435693
3867298_1,0.0076356372
304857_4,0.0069366195
2727702_1,0.0065872241
7844717_5,0.0064532058
3869840_1,0.0061620688
15220785_4,0.0057249172
7641562_5,0.0057102945
456804_4,0.0056472560
21167989_1,0.0055958400
2887457_1,0.0055783773
5322083_1,0.0055223326
17438333_5,0.0054070973
9763449_2,0.0053535425
12947652_2,0.0053150402
1343417_4,0.0052831247
1338987_4,0.0051114829
200026_4,0.0050811768
2706831_1,0.0050540124
7656266_5,0.0049622441
9297779_2,0.0048459508
196160_4,0.0048324233
13024331_2,0.0046301503
20801587_3,0.0046226494
1306201_4,0.0046199728
9254802_2,0.0045959456
14919808_1,0.0043612197
17881223_4,0.0042818384
6878768_2,0.0042185364
12880002_2,0.0042115790
8262809_5,0.0041704280
20743840_5,0.0041012298
10115054_1,0.0040811328
1371926_4,0.0040482213
8196182_1,0.0040441188
18689973_3,0.0040269960
19001111_5,0.0040210034
1208382_4,0.0039731744
1272732_4,0.0039561531
15211966_4,0.0039172149
8200632_1,0.0038471960
6616103_4,0.0038466444
6674023_5,0.0037813212
9189042_2,0.0037363619
5335357_1,0.0037306452
20296294_5,0.0037087470
6099116_4,0.0036865461
12950238_1,0.0036846080
10113333_1,0.0036746925
9288698_4,0.0036163775
7491049_5,0.0035527374
23521994_1,0.0035297910
7863533_5,0.0034638450
1352521_4,0.0034623833
18609424_5,0.0034606804
18877212_1,0.0034396765
14084839_3,0.0034050674
15654075_5,0.0033922389
7704673_5,0.0033516032
7042040_5,0.0033413381
25411678_5,0.0033360445
14195440_5,0.0033344345
7921138_2,0.0033124925
2693210_4,0.0032789162
15012280_2,0.0032779400
6830451_5,0.0032717749
12607187_4,0.0032604064
14027027_5,0.0032559813
16639626_4,0.0032530669
19390708_5,0.0032091672
6094826_3,0.0031765779
17243609_2,0.0031538063
14318988_3,0.0031260529
27064199_1,0.0030930226
4006058_1,0.0030748437
13522842_4,0.0030649295
14069615_3,0.0030218903
25921145_1,0.0029672137
13823506_5,0.0029169086
7698527_1,0.0029160853
29793727_1,0.0029117253
27054576_1,0.0029060056
7487335_5,0.0028430603
17032424_2,0.0028246706
26500854_1,0.0027928725
4500007_3,0.0027892792
4484349_5,0.0027826019
15942612_3,0.0027684774
13977493_3,0.0027639463
670849_4,0.0027581786
19259712_2,0.0027505094
19608765_1,0.0027384153
14466418_2,0.0026950825
2751394_1,0.0026731044
316605_4,0.0026665742
15648999_1,0.0026644012
4973262_4,0.0026526281
6766446_1,0.0026434299
1415510_4,0.0026164006
19782362_1,0.0026031041
3336533_3,0.0025952482
26254585_1,0.0025791009
23441266_1,0.0025343357
25550074_5,0.0025133600
13906293_5,0.0024908409
11397500_5,0.0024785313
7957626_4,0.0024718035
468096_4,0.0024589312
461505_4,0.0024472824
298461_4,0.0024414228
3713601_3,0.0024267554
18715390_5,0.0024241603
12876642_2,0.0024202815
17081605_2,0.0024182161
19468585_5,0.0024007347
23016150_3,0.0023605779
434019_5,0.0023502486
12242183_4,0.0023225532
4512913_3,0.0023154705
4033743_1,0.0022745454
16335623_1,0.0022699505
8763808_5,0.0022687679
3479452_1,0.0022453682
14926154_2,0.0022258919
9709808_5,0.0022238910
12768748_1,0.0022015825
2653556_4,0.0021924691
308466_4,0.0021088226
14770583_3,0.0020985377
18573101_5,0.0020969165
18604968_5,0.0020890271
3659550_5,0.0020887116
28581459_1,0.0020562920
13649855_4,0.0020210845
4578737_3,0.0020186051
8700916_2,0.0020001438
11403824_1,0.0019804051
19621983_5,0.0019779068
23214527_1,0.0019703833
8789092_3,0.0019601299
1220488_4,0.0019538731
7405358_5,0.0018895868
1225999_4,0.0018889415
22341251_3,0.0018673328
25028196_5,0.0018576096
10488213_3,0.0018556998
17831141_2,0.0018498405
12752010_4,0.0018497556
4118591_3,0.0018360069
15880525_3,0.0018156300
3378956_5,0.0018098354
2095392_5,0.0017769126
19902444_1,0.0017759309
10162589_5,0.0017640184
7468078_5,0.0017420012
5517414_3,0.0016966825
12163364_5,0.0016929166
6808276_4,0.0016674517
332542_4,0.0016557130
13969263_5,0.0016316061
3755692_1,0.0016122082
18612583_5,0.0016114627
8298548_4,0.0016050159
433009_5,0.0015751941
9426340_3,0.0015729533
9664206_2,0.0015698071
23309506_5,0.0015596043
8599540_2,0.0015583452
12297512_2,0.0015273266
6914569_4,0.0015013868
9046994_2,0.0014866031
10903188_1,0.0014806187
8109902_4,0.0014746102
3430642_5,0.0014701302
1197742_4,0.0014455161
14533842_3,0.0014294524
26279584_1,0.0014218632
686017_4,0.0014071780
14388604_2,0.0013768059
12382461_2,0.0013690674
9239633_5,0.0012804206
8266162_4,0.0012773466
18085741_5,0.0012749786
7489772_5,0.0012626521
5511615_4,0.0012523520
12218714_1,0.0012368390
5842995_5,0.0012274047
17595531_1,0.0012248112
17362611_4,0.0012181536
10207851_1,0.0012072499
17581474_4,0.0011935382
19577585_1,0.0011664893
3382269_1,0.0011352602
3185936_1,0.0011349018
19675444_1,0.0011153365
21834693_1,0.0010743598
22887294_5,0.0010661578
4242296_4,0.0010593828
17718011_5,0.0010588549
6660227_2,0.0010494227
18405972_5,0.0010407002
6185093_1,0.0009957805
25871993_1,0.0009924137
1522288_3,0.0009842998
9337986_2,0.0009752708
9786300_3,0.0009732118
3906159_5,0.0009698330
15733317_3,0.0009625097
12592219_2,0.0009606899
1873911_4,0.0009518995
10822775_1,0.0009506024
13242323_4,0.0009458741
19118838_5,0.0009367525
25962528_1,0.0009273038
13978395_3,0.0009267775
9259178_4,0.0009102448
15017208_3,0.0009066031
7063943_4,0.0009004121
1443642_1,0.0008911281
8737596_5,0.0008903381
17363605_2,0.0008805057
4917238_4,0.0008561725
8299462_4,0.0008459609
7877868_4,0.0008219960
8152505_1,0.0008118725
6894053_1,0.0008082931
14522395_3,0.0007967686
10526743_4,0.0007932651
15115661_2,0.0007898015
18143795_1,0.0007824227
7723248_1,0.0007788349
18851465_5,0.0007672002
9187417_3,0.0007652625
9711271_5,0.0007644003
6581872_2,0.0007544901
19865071_1,0.0007517612
9806146_5,0.0007501559
10220481_2,0.0007500675
17189830_3,0.0007459419
5285716_5,0.0007429840
21683519_3,0.0007387682
21376311_5,0.0007338868
11428871_1,0.0007304086
2581726_4,0.0007256640
12479060_2,0.0007233733
25639123_1,0.0007174116
6305831_5,0.0007155966
10974531_4,0.0007071472
7917725_1,0.0007038161
7743605_4,0.0007030886
18972820_2,0.0007026832
8397396_5,0.0007009582
15295334_4,0.0006990699
10624306_2,0.0006966268
12162724_1,0.0006898388
22698413_5,0.0006798217
1704592_1,0.0006754249
8928135_3,0.0006721476
17457494_2,0.0006719462
14938616_5,0.0006705014
363055_3,0.0006697278
9146697_1,0.0006692214
26758758_5,0.0006677202
9269239_4,0.0006582775
16350326_3,0.0006562934
1118453_5,0.0006516492
26363240_1,0.0006500392
9761337_5,0.0006495145
8303302_3,0.0006492646
6852857_4,0.0006356069
10520950_2,0.0006318496
7813709_5,0.0006259225
22245829_5,0.0006257261
1419219_2,0.0006249456
1045654_3,0.0006212863
7201310_4,0.0006202215
19206230_5,0.0006141100
7210955_4,0.0006124742
7118096_1,0.0006096288
4728970_5,0.0006092524
13690833_2,0.0006034637
4705850_2,0.0005998927
5237652_1,0.0005991058
5664601_1,0.0005962003
7024009_5,0.0005956765
14148814_4,0.0005947711
13717488_4,0.0005821485
18133372_5,0.0005770060
5874000_5,0.0005714850
9329697_2,0.0005692781
15709053_1,0.0005674046
9393030_5,0.0005627075
16299060_3,0.0005612925
8302703_4,0.0005602259
6285456_2,0.0005583981
11651451_1,0.0005554831
12750301_1,0.0005551042
19720552_5,0.0005471664
19002840_5,0.0005437775
1492458_2,0.0005427844
14539556_3,0.0005417695
14424738_4,0.0005415180
22029843_3,0.0005395971
20696499_1,0.0005387790
20713368_3,0.0005347013
15328709_4,0.0005314824
11390960_1,0.0005292455
7228664_2,0.0005284713
21470265_1,0.0005258774
16420447_5,0.0005256097
11298491_1,0.0005249510
10505586_3,0.0005247486
19446495_3,0.0005245872
25337279_1,0.0005224798
8185300_1,0.0005196819
22189948_5,0.0005166978
14249523_3,0.0005166222
25905090_5,0.0005141762
6727312_1,0.0005115785
19771254_5,0.0005096704
11588727_5,0.0005076941
2318795_1,0.0005041668
13221556_1,0.0005015151
11869989_1,0.0005004726
5470199_4,0.0004999327
17425581_2,0.0004982892
39033_1,0.0004973372
6517262_5,0.0004964645
8702357_5,0.0004940871
8424550_5,0.0004907680
13222325_3,0.0004887644
16253613_1,0.0004830529
23333356_5,0.0004812624
1154986_5,0.0004790837
13031679_2,0.0004779855
9452523_2,0.0004774842
17129135_3,0.0004766862
18175432_5,0.0004733909
13174919_3,0.0004718715
13351188_1,0.0004717724
5951762_4,0.0004715187
11519308_1,0.0004707194
19220332_2,0.0004693303
16313091_4,0.0004679965
