snp_ids_0,coefficients_0
26974820_5,0.0000000000
7774472_2,0.0000000000
7813889_2,0.0000000000
7810043_2,0.0000000000
7784286_2,-0.0000000000
7783758_2,0.0000000000
7782616_2,0.0000000000
7781444_2,0.0000000000
7777427_2,-0.0000000000
7775333_2,0.0000000000
7773674_2,-0.0000000000
7819082_2,0.0000000000
7771967_2,-0.0000000000
7769383_2,-0.0000000000
7768976_2,-0.0000000000
7766385_2,0.0000000000
7765720_2,0.0000000000
7763776_2,-0.0000000000
7763430_2,-0.0000000000
7762444_2,-0.0000000000
7815171_2,-0.0000000000
7836826_2,-0.0000000000
7643683_2,0.0000000000
7863803_2,0.0000000000
7882834_2,-0.0000000000
7881634_2,0.0000000000
7880208_2,-0.0000000000
7876306_2,-0.0000000000
7876006_2,0.0000000000
7872539_2,0.0000000000
7870344_2,0.0000000000
7868271_2,-0.0000000000
7863569_2,-0.0000000000
7838525_2,0.0000000000
7861653_2,-0.0000000000
7859793_2,-0.0000000000
7859611_2,0.0000000000
7857145_2,0.0000000000
7855473_2,-0.0000000000
7852606_2,-0.0000000000
7841751_2,-0.0000000000
7839889_2,-0.0000000000
7762372_2,-0.0000000000
7761736_2,-0.0000000000
7759864_2,-0.0000000000
7657133_2,-0.0000000000
7674551_2,0.0000000000
7670699_2,-0.0000000000
7667870_2,0.0000000000
7667321_2,0.0000000000
7663960_2,0.0000000000
7661102_2,0.0000000000
7658723_2,-0.0000000000
7657320_2,-0.0000000000
7655726_2,0.0000000000
7757825_2,0.0000000000
7655132_2,0.0000000000
7653814_2,0.0000000000
7652790_2,0.0000000000
7652641_2,0.0000000000
7652600_2,0.0000000000
7650329_2,-0.0000000000
7645679_2,0.0000000000
7645398_2,0.0000000000
7678201_2,0.0000000000
7678245_2,-0.0000000000
7679287_2,0.0000000000
7681327_2,0.0000000000
7756013_2,0.0000000000
7752562_2,0.0000000000
7736161_2,0.0000000000
7730920_2,-0.0000000000
7730615_2,-0.0000000000
7730272_2,0.0000000000
7730104_2,-0.0000000000
7729606_2,0.0000000000
7729543_2,-0.0000000000
7727325_2,0.0000000000
7724880_2,0.0000000000
7713441_2,-0.0000000000
7707930_2,0.0000000000
7703518_2,0.0000000000
7696086_2,0.0000000000
7689439_2,0.0000000000
7686358_2,0.0000000000
7883674_2,0.0000000000
7888676_2,-0.0000000000
7889744_2,0.0000000000
7991060_2,0.0000000000
7996420_2,-0.0000000000
7996235_2,0.0000000000
7994713_2,-0.0000000000
7993716_2,-0.0000000000
7993580_2,-0.0000000000
7993245_2,-0.0000000000
7991785_2,0.0000000000
7991067_2,-0.0000000000
7990496_2,0.0000000000
7963084_2,0.0000000000
7989999_2,0.0000000000
7987814_2,-0.0000000000
7986210_2,0.0000000000
7977752_2,0.0000000000
7977556_2,-0.0000000000
7976372_2,0.0000000000
7974960_2,-0.0000000000
7973029_2,0.0000000000
8000100_2,-0.0000000000
8001328_2,0.0000000000
8003376_2,-0.0000000000
8004429_2,0.0000000000
8064787_2,0.0000000000
8061729_2,-0.0000000000
8060431_2,0.0000000000
8047400_2,0.0000000000
8040854_2,0.0000000000
8038661_2,-0.0000000000
8030294_2,0.0000000000
8022820_2,0.0000000000
8020825_2,-0.0000000000
8020633_2,0.0000000000
8017062_2,0.0000000000
8015976_2,0.0000000000
8014201_2,0.0000000000
8013558_2,0.0000000000
8011070_2,0.0000000000
8007599_2,-0.0000000000
8004887_2,-0.0000000000
7968894_2,0.0000000000
7961577_2,-0.0000000000
7890326_2,-0.0000000000
7914870_2,-0.0000000000
7919912_2,-0.0000000000
7919865_2,0.0000000000
7919422_2,-0.0000000000
